reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,30,40,0,0,0,13,0.14726689999224618,,0.025460899982135743,0.14726689999224618,1.0147299999953248,1.0147299999953248,1.1484192999778315,5.214597499987576,t,4.189750999998068,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
36,48,45,0,1,1,14,5.24621469998965,,5.225614299997687,5.24621469998965,6.230057099979604,6.230057099979604,6.246751599974232,10.962946199986618,t,4.722356399986893,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
40,68,6,0,2,2,16,10.979686799983028,,10.963382699992508,10.979686799983028,11.977998799993657,11.977998799993657,11.99503160000313,14.878576599992812,l,2.8927317999769,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
67,75,119,0,3,3,5,14.894058799982304,,14.878951399994548,14.894058799982304,15.894099700002698,15.894099700002698,15.894099700002698,17.877488099999027,t,1.976179300021613,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
50,78,17,0,4,4,18,17.893429299991112,,17.877895599987824,17.893429299991112,18.892524599999888,18.892524599999888,18.892524599999888,21.87573849997716,t,2.969586999999592,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
20,50,9,0,5,5,15,21.89189389999956,,21.87611620000098,21.89189389999956,22.89143829999375,22.89143829999375,22.89143829999375,24.708458599983715,l,1.8104219999804627,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
49,60,89,0,6,6,4,24.72401439998066,,24.708837399986805,24.72401439998066,25.72406989999581,25.72406989999581,25.72406989999581,27.940618900000118,t,2.205868199991528,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
15,35,13,0,7,7,1,27.95614569997997,,27.941041899990523,27.95614569997997,28.959274499997264,28.959274499997264,28.959274499997264,30.72343220000039,l,1.7500093000126071,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
78,80,162,0,8,8,6,30.73843869997654,,30.72380889998749,30.73843869997654,31.738755300000776,31.738755300000776,31.738755300000776,33.62222170000314,t,1.8760540999937803,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
33,50,90,0,9,9,17,33.638020399987,,33.62263949998305,33.638020399987,34.637931899982505,34.637931899982505,34.637931899982505,36.604774699982954,t,1.9615821999905165,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
5,77,20,0,10,10,9,36.62006549999933,,36.60515969997505,36.62006549999933,37.62034619998303,37.62034619998303,37.62034619998303,40.103375299979234,l,2.4754227999947034,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
15,43,89,0,11,11,7,40.11931779998122,,40.10383379997802,40.11931779998122,41.118853499996476,41.118853499996476,41.118853499996476,44.60194639998372,l,3.4756026999966707,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
29,50,114,0,12,12,8,44.61756980000064,,44.60237789998064,44.61756980000064,45.60096979999798,45.60096979999798,45.61763989998144,47.60164690000238,t,1.9986306999926455,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
22,59,67,0,13,13,19,47.616985799977556,,47.60202229997958,47.616985799977556,48.616958099999465,48.616958099999465,48.616958099999465,50.65021229998092,l,2.0241834999760613,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
40,55,62,0,14,14,3,50.66558579998673,,50.650589899974875,50.66558579998673,51.665500999981305,51.665500999981305,51.665500999981305,53.28209219998098,t,1.6004025000147521,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
9,56,30,0,15,15,11,53.29857719998108,,53.282478099979926,53.29857719998108,54.281629399978556,54.281629399978556,54.298579499998596,55.93344149997574,l,1.6383001999929547,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
30,45,2,0,16,16,10,55.96355779998703,,55.93446389999008,55.96355779998703,56.93348839998362,56.93348839998362,56.966586700000335,67.55008039998938,l,10.609543500002474,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
27,50,21,0,17,17,2,67.57771610000054,,67.55179719999433,67.57771610000054,68.5630096999812,68.5630096999812,68.58025879997876,72.69761549998657,l,4.130749300005846,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
40,59,125,0,18,18,12,72.74293769997894,,72.6993273999833,72.74293769997894,73.72625549999066,73.72625549999066,73.74523079997743,75.41439409999293,t,1.6834909000026528,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
11,30,7,0,19,19,0,75.4421078999876,,75.41609719998087,75.4421078999876,76.42757659999188,76.42757659999188,76.44381289999001,78.01260590000311,l,1.5744292000017595,None,1r,001,2023-11-14_00h18.10.699,delaydiscounting,2023.2.3,60.068033054805,2023-11-14 00h18.26.870347 +0530,
