reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,78,17,0,0,0,18,0.3405350000030012,,0.03691880000405945,0.3405350000030012,1.0240676000030362,1.0240676000030362,1.34229200000118,5.750241100002313,l,4.722307800002454,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
33,50,90,0,1,1,17,5.789326999998593,,5.7550396000006,5.789326999998593,6.758200000003853,6.758200000003853,6.791271699999925,11.725806200003717,t,4.950538199998846,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
40,59,125,0,2,2,12,11.771155100002943,,11.727533099998254,11.771155100002943,12.739413000002969,12.739413000002969,12.796355899998161,15.47478680000495,t,2.73124189999362,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
36,48,45,0,3,3,14,15.519804600000498,,15.476512500004901,15.519804600000498,16.488324900004955,16.488324900004955,16.521398900003987,23.223326100000122,t,6.721174500002235,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
27,50,21,0,4,4,2,23.250495799999044,,23.22515750000457,23.250495799999044,24.2354015000019,24.2354015000019,24.25251610000123,26.521111900001415,l,2.2710069000022486,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
78,80,162,0,5,5,6,26.55012230000284,,26.522813299998234,26.55012230000284,27.534833999998227,27.534833999998227,27.55192420000094,30.061591900004714,t,2.514685800000734,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
20,50,9,0,6,6,15,30.098114799999166,,30.063395500001207,30.098114799999166,31.067158099998778,31.067158099998778,31.100408700003754,37.60066060000099,l,6.521390499998233,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
67,75,119,0,7,7,5,37.629387300003145,,37.602372000001196,37.629387300003145,38.6146549000041,38.6146549000041,38.63099070000317,40.54804200000217,t,1.9281687999973656,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
9,56,30,0,8,8,11,40.57830890000332,,40.54977570000483,40.57830890000332,41.54731690000335,41.54731690000335,41.580221500000334,44.631051000003936,l,3.072140500000387,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
15,35,13,0,9,9,1,44.66047930000059,,44.6325410999998,44.66047930000059,45.64616240000032,45.64616240000032,45.66238600000361,49.96213060000446,l,4.298547799997323,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
29,50,114,0,10,10,8,49.99193640000158,,49.96396420000383,49.99193640000158,50.97727719999966,50.97727719999966,50.9939061000041,54.44405540000298,t,3.4516331999984686,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
49,60,89,0,11,11,4,54.47334140000021,,54.4450039000003,54.47334140000021,55.46014760000253,55.46014760000253,55.47630339999887,58.82430559999921,t,3.3550250999978743,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
15,43,89,0,12,12,7,58.83971759999986,,58.82497460000013,58.83971759999986,59.83934579999914,59.83934579999914,59.8578456000032,62.91171060000488,t,3.054211499998928,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
11,30,7,0,13,13,0,62.93845590000274,,62.91379690000031,62.93845590000274,63.92267520000314,63.92267520000314,63.938741999998456,65.69260190000205,l,1.7584262999953353,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
5,77,20,0,14,14,9,65.72064700000192,,65.69439830000192,65.72064700000192,66.7060754999984,66.7060754999984,66.72317800000019,69.10576020000008,l,2.3927287999977125,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
22,59,67,0,15,15,19,69.13602019999962,,69.10686690000148,69.13602019999962,70.12178439999843,70.12178439999843,70.13834420000057,78.61953260000155,l,8.480326700002479,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
40,68,6,0,16,16,16,78.65023150000343,,78.62130389999948,78.65023150000343,79.63253729999997,79.63253729999997,79.66802250000183,83.653338600001,l,4.008416100004979,None,3v,001,2023-11-15_15h41.18.664,delaydiscounting,2023.2.3,59.328027034853704,2023-11-15 15h41.48.110769 +0530,
