reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,30,40,0,0,0,13,0.30487999999604654,,0.02947699998912867,0.30487999999604654,1.0058993999991799,1.0058993999991799,1.3068715999979759,10.987696500000311,t,9.968562399997609,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
78,80,162,0,1,1,6,11.018204899999546,,10.990090399995097,11.018204899999546,12.003265299994382,12.003265299994382,12.020031799998833,19.26913699999568,t,7.249201300001005,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
29,50,114,0,2,2,8,19.29913279999164,,19.270277299990994,19.29913279999164,20.283640699999523,20.283640699999523,20.30017859999498,28.63238269998692,t,8.338296600006288,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
30,45,2,0,3,3,10,28.663191899991944,,28.63328099998762,28.663191899991944,29.64703659999941,29.64703659999941,29.663793799991254,37.94762649999757,l,8.293887599997106,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
9,56,30,0,4,4,11,37.9764448999922,,37.94874279999931,37.9764448999922,38.96129099999962,38.96129099999962,38.978074999991804,56.87358419998782,l,17.90235329999996,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
40,68,6,0,5,5,16,56.88883050000004,,56.874479399994016,56.88883050000004,57.888337199998205,57.888337199998205,57.888337199998205,63.004298199986806,l,5.112709300010465,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
49,60,89,0,6,6,4,63.01976619999914,,63.00510270000086,63.01976619999914,64.01928009999392,64.01928009999392,64.01928009999392,68.88564069999848,t,4.853996399993775,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
15,35,13,0,7,7,1,68.90128779999213,,68.8864145999978,68.90128779999213,69.90110009998898,69.90110009998898,69.90110009998898,86.53105499999947,l,16.625163300006534,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
67,75,119,0,8,8,5,86.56131789999199,,86.53195639999467,86.56131789999199,87.54641209999681,87.54641209999681,87.5623598999955,91.74596770000062,t,4.1903314999945,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
20,50,9,0,9,9,15,91.76083549999748,,91.74688139998761,91.76083549999748,92.76072329998715,92.76072329998715,92.76072329998715,97.91059219998715,l,5.139098200001172,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
22,59,67,0,10,10,19,97.94108319999941,,97.91151949999039,97.94108319999941,98.90952889999608,98.90952889999608,98.94292309999582,106.8913717999967,t,7.972457800002303,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
40,59,125,0,11,11,12,106.90613779998966,,106.89227499999106,106.90613779998966,107.90596849999565,107.90596849999565,107.90596849999565,121.77002519999223,t,13.855323900002986,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
36,48,45,0,12,12,14,121.78484569999273,,121.7709191999893,121.78484569999273,122.78469099999347,122.78469099999347,122.78469099999347,137.78181449999101,t,14.983526900003199,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
40,55,62,0,13,13,3,137.81232199999795,,137.78280039998936,137.81232199999795,138.79697479998867,138.79697479998867,138.81358009998803,142.8014007999882,t,4.001808600005461,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
33,50,90,0,14,14,17,142.82711559999734,,142.8025850999984,142.82711559999734,143.81223419999878,143.81223419999878,143.82875099999364,148.84634959998948,t,5.01918360000127,None,4d,001,2023-11-15_18h53.54.967,delaydiscounting,2023.2.3,59.985555479984505,2023-11-15 18h54.18.365672 +0530,
